Difficulty,Title,Frequency,Link,Topics,Companies
HARD,Serialize and Deserialize Binary Tree,49.6,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree","Amazon, Meta"
MEDIUM,4Sum,49.6,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting","Amazon, Google"
MEDIUM,Minimum Domino Rotations For Equal Row,49.6,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row,"Array, Greedy",Amazon
MEDIUM,Find Peak Element,49.6,https://leetcode.com/problems/find-peak-element,"Array, Binary Search","Amazon, Google, Meta"
MEDIUM,Domino and Tromino Tiling,49.6,https://leetcode.com/problems/domino-and-tromino-tiling,Dynamic Programming,"Amazon, Google, Meta"
MEDIUM,Number of Sub-arrays With Odd Sum,39.8,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum,"Array, Math, Dynamic Programming, Prefix Sum",Amazon
MEDIUM,Next Greater Node In Linked List,39.8,https://leetcode.com/problems/next-greater-node-in-linked-list,"Array, Linked List, Stack, Monotonic Stack",Amazon
EASY,Same Tree,39.8,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree","Amazon, Google"
MEDIUM,Coin Change,39.8,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search",Amazon
HARD,Put Marbles in Bags,39.8,https://leetcode.com/problems/put-marbles-in-bags,"Array, Greedy, Sorting, Heap (Priority Queue)",Amazon
MEDIUM,All Nodes Distance K in Binary Tree,39.8,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree","Amazon, Meta"
HARD,Painting a Grid With Three Different Colors,39.8,https://leetcode.com/problems/painting-a-grid-with-three-different-colors,Dynamic Programming,Amazon
HARD,Minimum Amount of Damage Dealt to Bob,39.8,https://leetcode.com/problems/minimum-amount-of-damage-dealt-to-bob,"Array, Greedy, Sorting",Amazon
EASY,Finding 3-Digit Even Numbers,39.8,https://leetcode.com/problems/finding-3-digit-even-numbers,"Array, Hash Table, Sorting, Enumeration","Amazon, Microsoft"
MEDIUM,Battleships in a Board,39.8,https://leetcode.com/problems/battleships-in-a-board,"Array, Depth-First Search, Matrix",Amazon
MEDIUM,Minimum Size Subarray Sum,39.8,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum","Amazon, Microsoft"
HARD,Integer to English Words,39.8,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion",Amazon
MEDIUM,Next Greater Element III,39.8,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String",Amazon
MEDIUM,Longest Increasing Subsequence,39.8,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming","Amazon, Google"
HARD,LFU Cache,39.8,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List",Amazon
MEDIUM,Find First and Last Position of Element in Sorted Array,39.8,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search","Amazon, Google, Microsoft, Meta"
MEDIUM,Edit Distance,39.8,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming",Amazon
HARD,Candy,39.8,https://leetcode.com/problems/candy,"Array, Greedy",Amazon
MEDIUM,Zigzag Conversion,39.8,https://leetcode.com/problems/zigzag-conversion,String,"Amazon, Google"
MEDIUM,Largest Number,39.8,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting",Amazon
MEDIUM,Boats to Save People,39.8,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting",Amazon
HARD,Split Array Largest Sum,39.8,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum","Amazon, Microsoft"
MEDIUM,Distribute Coins in Binary Tree,39.8,https://leetcode.com/problems/distribute-coins-in-binary-tree,"Tree, Depth-First Search, Binary Tree",Amazon
HARD,Longest Increasing Path in a Matrix,100.0,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix",DoorDash
MEDIUM,Search Suggestions System,93.9,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)","DoorDash, Google"
MEDIUM,Walls and Gates,76.7,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix",DoorDash
MEDIUM,Single-Threaded CPU,62.1,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)","DoorDash, Google"
